Dmax_est,Dmax_true,Rg_guinier,Rg_true,dmax_over_rg,in_window,method,nchannel_max,noise,params,rel_err,rg_gui_err,seed,shape,time_ms,x_converged,x_nmax,x_nsol,x_rg_nn,x_sigma
5.830389129508651,6.0,2.3946231241248905,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.1,,-0.028268478415224802,0.030481719997250807,1,sphere,18.249171997013036,True,7,1,,0.020914110069977454
7.0454839244254135,6.0,2.3946231241248905,2.3237900077754694,2.581988897414923,True,dnn,7,0.1,,0.1742473207375689,0.030481719997250807,1,sphere,0.2685009967535734,,,,2.3067027920718175,
7.183869372374671,6.0,2.3946231241248905,2.3237900077754694,2.581988897414923,True,three_rg,7,0.1,,0.19731156206244518,0.030481719997250807,1,sphere,0.001153995981439948,,,,,
8.048975179389718,6.0,2.3855883756341374,2.3237900077754694,2.581988897414923,True,shannon,7,0.1,,0.3414958632316196,0.026593783281574,2,sphere,21.86277800501557,True,10,2,,0.023855883756343843
5.824966952823843,6.0,2.3855883756341374,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.1,,-0.029172174529359534,0.026593783281574,2,sphere,18.493131996365264,True,7,3,,0.0015491933385165524
7.0581040197007265,6.0,2.3855883756341374,2.3237900077754694,2.581988897414923,True,dnn,7,0.1,,0.17635066995012108,0.026593783281574,2,sphere,0.2219300004071556,,,,2.3074515339072335,
7.156765126902412,6.0,2.3855883756341374,2.3237900077754694,2.581988897414923,True,three_rg,7,0.1,,0.1927941878170687,0.026593783281574,2,sphere,0.0017049969756044447,,,,,
6.965953309610165,6.0,2.380708581548261,2.3237900077754694,2.581988897414923,True,shannon,7,0.2,,0.16099221826836083,0.024493854256339993,0,sphere,17.747704005159903,False,8,0,,0.8380094207049495
6.295147131063706,6.0,2.380708581548261,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.2,,0.04919118851061762,0.024493854256339993,0,sphere,17.271867996896617,True,8,3,,0.01316814337739336
7.0939409486517935,6.0,2.380708581548261,2.3237900077754694,2.581988897414923,True,dnn,7,0.2,,0.18232349144196558,0.024493854256339993,0,sphere,0.21897700207773596,,,,2.3078671672192055,
7.142125744644783,6.0,2.380708581548261,2.3237900077754694,2.581988897414923,True,three_rg,7,0.2,,0.19035429077413055,0.024493854256339993,0,sphere,0.0015810001059435308,,,,,
7.116758215921176,6.0,2.3722527386403702,2.3237900077754694,2.581988897414923,True,shannon,7,0.2,,0.186126369320196,0.02085503883859691,1,sphere,16.607619996648282,False,9,0,,0.7259093380239934
6.541468871887885,6.0,2.3722527386403702,2.3237900077754694,2.581988897414923,True,shannon_ex,7,0.2,,0.09024481198131411,0.02085503883859691,1,sphere,16.628878001938574,False,8,0,,0.6576325722004022
7.037348469942355,6.0,2.3722527386403702,2.3237900077754694,2.581988897414923,True,dnn,7,0.2,,0.17289141165705915,0.02085503883859691,1,sphere,0.19974499446107075,,,,2.306433410589381,
7.116758215921111,6.0,2.3722527386403702,2.3237900077754694,2.581988897414923,True,three_rg,7,0.2,,0.1861263693201852,0.02085503883859691,1,sphere,0.0016689955373294652,,,,,
8.05646254495248,6.0,2.4063508198783174,2.3237900077754694,2.581988897414923,False,shannon,7,0.2,,0.3427437574920799,0.03552851670185221,2,sphere,16.883311000128742,True,10,1,,0.0
5.823417759485325,6.0,2.4063508198783174,2.3237900077754694,2.581988897414923,False,shannon_ex,7,0.2,,-0.02943037341911244,0.03552851670185221,2,sphere,20.45139500114601,True,7,1,,0.013942740046651636
7.05959182997716,6.0,2.4063508198783174,2.3237900077754694,2.581988897414923,False,dnn,7,0.2,,0.17659863832952669,0.03552851670185221,2,sphere,0.19568900461308658,,,,2.307534537916477,
